municipality,party,votes,population,percentage_dutch
Aa en Hunze,PVV,19.402149574563367,25399,93.4
Aa en Hunze,PvdA/GL,17.95230631437528,25399,93.4
Aa en Hunze,VVD,16.222570532915363,25399,93.4
Aa en Hunze,NSC,15.875503806538289,25399,93.4
Aa en Hunze,BBB,9.57792207792208,25399,93.4
Aa en Hunze,D66,5.625839677563816,25399,93.4
Aa en Hunze,SP,3.4930586654724585,25399,93.4
Aa en Hunze,PvdD,2.507836990595611,25399,93.4
Aa en Hunze,CDA,2.4854455888938647,25399,93.4
Aa en Hunze,FvD,1.7577250335871024,25399,93.4
Aa en Hunze,ChristenUnie,1.371473354231975,25399,93.4
Aa en Hunze,Volt,1.371473354231975,25399,93.4
Aa en Hunze,JA21,0.6269592476489028,25399,93.4
Aa en Hunze,BVNL,0.4758172861621138,25399,93.4
Aa en Hunze,50PLUS,0.33587102552619796,25399,93.4
Aa en Hunze,SGP,0.2407075682937752,25399,93.4
Aa en Hunze,DENK,0.23510971786833856,25399,93.4
Aa en Hunze,BIJ1,0.11755485893416928,25399,93.4
Aa en Hunze,Piratenpartij - De Groenen,0.08956560680698611,25399,93.4
Aa en Hunze,Samen voor Nederland,0.08396775638154949,25399,93.4
Aa en Hunze,Splinter,0.07836990595611285,25399,93.4
Aa en Hunze,LEF - Voor de Nieuwe Generatie,0.05038065382892969,25399,93.4
Aa en Hunze,LP (Libertaire Partij),0.02239140170174652,25399,93.4
Aalsmeer,VVD,25.070379280339868,31991,78.5
Aalsmeer,PVV,25.060142294108616,31991,78.5
Aalsmeer,NSC,12.340686901776117,31991,78.5
Aalsmeer,PvdA/GL,9.551108153759532,31991,78.5
Aalsmeer,D66,6.689870502124175,31991,78.5
Aalsmeer,CDA,3.6955520294825206,31991,78.5
Aalsmeer,BBB,3.383323949429288,31991,78.5
Aalsmeer,ChristenUnie,2.2367814915288937,31991,78.5
Aalsmeer,FvD,2.067871218713211,31991,78.5
Aalsmeer,SP,1.9910938219788092,31991,78.5
Aalsmeer,PvdD,1.6481547832318164,31991,78.5
Aalsmeer,DENK,1.3973486205661052,31991,78.5
Aalsmeer,Volt,1.3308082100629577,31991,78.5
Aalsmeer,JA21,0.9520397195065772,31991,78.5
Aalsmeer,SGP,0.6449301325689717,31991,78.5
Aalsmeer,50PLUS,0.5886267082970773,31991,78.5
Aalsmeer,BVNL,0.5783897220658238,31991,78.5
Aalsmeer,BIJ1,0.2610431488969647,31991,78.5
Aalsmeer,Splinter,0.19450273839381685,31991,78.5
Aalsmeer,PartijvdSport,0.07165890361877462,31991,78.5
Aalsmeer,Piratenpartij - De Groenen,0.07165890361877462,31991,78.5
Aalsmeer,Nederland met een PLAN,0.06142191738752112,31991,78.5
Aalsmeer,LEF - Voor de Nieuwe Generatie,0.05118493115626759,31991,78.5
Aalsmeer,LP (Libertaire Partij),0.03071095869376056,31991,78.5
Aalsmeer,Samen voor Nederland,0.03071095869376056,31991,78.5
Aalten,PVV,19.796010368533754,27120,88.5
Aalten,NSC,18.51684886735039,27120,88.5
Aalten,BBB,15.575340921897892,27120,88.5
Aalten,VVD,11.574439310267104,27120,88.5
Aalten,PvdA/GL,10.430519553702243,27120,88.5
